INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
62212183,2009-05-28,23:27:00,QUEENS,103,0,UNKNOWN,False,25-44,M,BLACK,18-24,M,BLACK,1042830.9375,192925.78125,40.696027807000064,-73.78874444599995,POINT (-73.78874444599995 40.696027807000064)
82496548,2012-01-05,22:36:00,BRONX,52,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,<18,M,BLACK HISPANIC,1013735.125,255973.90625,40.86922277000008,-73.89339411499996,POINT (-73.89339411499998 40.86922277000008)
52380393,2008-10-20,21:19:00,QUEENS,104,0,MULTI DWELL - APT BUILD,False,<18,M,WHITE HISPANIC,<18,F,WHITE HISPANIC,1008039.9375,196412.890625,40.70576101200004,-73.91419673199994,POINT (-73.91419673199994 40.70576101200004)
85104601,2012-06-05,16:26:00,QUEENS,113,0,UNKNOWN,False,18-24,M,BLACK,18-24,M,BLACK,1046405.0,187112.640625,40.68004774000008,-73.77590919699996,POINT (-73.77590919699998 40.68004774000008)
33136950,2007-07-17,15:00:00,BROOKLYN,77,0,GROCERY/BODEGA,False,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1003530.0,185360.96875,40.67543701300008,-73.93049463699998,POINT (-73.93049463699998 40.67543701300008)
183189826,2018-05-26,00:10:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,18-24,M,BLACK,1005385.8125,235950.296875,40.81428776000007,-73.92364523699996,POINT (-73.92364523699996 40.81428776000007)
170349785,2017-10-12,19:22:00,BROOKLYN,75,0,UNKNOWN,False,18-24,M,BLACK,18-24,M,BLACK,1016856.0625,187276.765625,40.680656386000074,-73.88244329599996,POINT (-73.88244329599996 40.68065638600007)
80558961,2011-09-02,03:56:00,QUEENS,113,0,PVT HOUSE,True,18-24,M,ASIAN / PACIFIC ISLANDER,18-24,M,ASIAN / PACIFIC ISLANDER,1051178.75,188879.9375,40.68486374400004,-73.75868055699993,POINT (-73.75868055699993 40.68486374400004)
158447906,2016-11-12,23:39:00,MANHATTAN,25,0,UNKNOWN,False,25-44,M,BLACK,25-44,M,BLACK,1000472.375,230832.546875,40.800251339000056,-73.94140810899995,POINT (-73.94140810899995 40.800251339000056)
88637176,2013-01-17,20:51:00,BROOKLYN,79,0,UNKNOWN,False,<18,M,BLACK,18-24,M,BLACK,999243.375,186712.484375,40.67915491500003,-73.94594544499995,POINT (-73.94594544499995 40.67915491500003)
